,fen,original,rot180,difference
19,8/1r1N1R2/8/k2K3Q/4n3/8/6q1/8 w - - 18 64,0.7859999999999999,-0.18,0.966
32648,1QN5/3q4/2k5/8/K6r/8/6n1/R7 w - - 20 63,0.0289999999999999,-0.888,0.9169999999999999
21,8/8/1R6/8/1N3k2/2n5/1r4Q1/1q4K1 w - - 4 30,-0.957,-0.0499999999999999,0.907
13,7k/8/8/7K/3r4/2n4R/5R1N/2r5 w - - 20 68,0.105,1.0,0.895
12,8/8/8/5r2/6q1/1R2R2Q/3K1k2/6r1 w - - 9 53,0.037,0.926,0.889
16,2K1B3/2r3k1/4B3/8/5b2/8/4R2b/8 w - - 12 39,-0.924,-0.061,0.863
533,4b3/4r3/k6B/8/8/8/1R3Bb1/1K6 w - - 9 54,0.039,0.847,0.8079999999999999
94,5B2/2B4k/7r/8/K1bR4/3b4/8/8 w - - 0 55,0.198,0.944,0.746
50,1r2B1R1/8/8/1B6/8/7k/7b/2b2K2 w - - 14 56,0.181,0.895,0.714
1272,8/8/8/8/qr1bR3/3B4/k5K1/2Q5 w - - 4 35,0.245,0.903,0.658
88,8/8/8/6n1/8/7k/3rq2N/Q2R2K1 w - - 6 35,0.109,0.751,0.642
3388,8/1B5K/Q3R3/1b6/2q2r2/8/2k5/8 w - - 10 40,-0.119,-0.756,0.637
1275,8/4Bb2/k7/6Q1/2b5/2q3B1/8/2K5 w - - 15 69,-0.741,-0.118,0.623
244,8/5k2/5q2/6K1/8/2n5/3QB1Nb/8 w - - 5 54,-0.828,-0.238,0.59
601,6q1/8/4NK2/8/8/8/4k3/1Q1Rn1r1 w - - 11 64,0.803,0.219,0.5840000000000001
220,1K3n1k/6r1/8/8/2N5/7b/8/B1R5 w - - 0 38,0.892,0.309,0.583
10697,5N2/7B/8/4k3/q2b4/8/4K1Q1/6n1 w - - 7 50,-0.727,-0.149,0.578
1250,Q1K5/2b5/3q4/8/2k5/8/1B2N2n/8 w - - 14 50,0.188,0.757,0.569
145,Nnr5/5R2/8/8/6r1/7k/3R4/7K w - - 2 54,0.7909999999999999,0.236,0.5549999999999999
49,8/5k2/2B5/7K/8/4QB2/1b2b3/4q3 w - - 2 56,1.0,0.449,0.5509999999999999
288,K7/2r5/5k2/2n5/8/1r6/R6N/2R5 w - - 4 44,-0.797,-0.247,0.55
75,r7/3n4/6R1/8/n2N4/5K2/8/1N3k2 w - - 6 62,0.319,0.856,0.5369999999999999
184,k7/8/7r/2Q5/1B1b2R1/4q3/8/5K2 w - - 3 37,0.388,0.92,0.532
119,5Q2/2k5/K2n1N2/3b2qB/8/8/8/8 w - - 4 33,0.741,0.216,0.525
625,2b3B1/5R1Q/8/4r2K/3k4/8/q7/8 w - - 18 58,-0.139,-0.6489999999999999,0.5099999999999999
1782,8/4r3/2N5/4r3/8/1K3k2/R6R/6n1 w - - 6 33,0.737,0.228,0.509
204,B4B2/8/8/8/Q1bq4/6k1/bK6/8 w - - 0 58,-0.7929999999999999,-0.284,0.5089999999999999
459,8/8/3Q4/K1N5/5R2/8/1r3n2/4k1q1 w - - 6 55,0.191,0.6859999999999999,0.49499999999999994
79,7q/5kr1/B6b/8/R7/3Q4/8/6K1 w - - 5 68,0.869,0.388,0.481
240,7k/8/8/b4B1K/2r5/3N1R2/8/3n4 w - - 17 62,0.817,0.3409999999999999,0.47600000000000003
112,6K1/7N/r7/8/2R4Q/8/qn4k1/8 w - - 1 57,0.634,0.1609999999999999,0.4730000000000001
1123,7q/8/N7/6Q1/3K4/k7/r4nR1/8 w - - 2 34,-0.195,-0.66,0.465
818,8/5q2/7R/3b4/4KQ2/8/4k3/1r5B w - - 5 31,-0.6789999999999999,-0.22,0.45899999999999996
101,8/8/6R1/1k2b1B1/2br4/K7/6B1/8 w - - 0 46,-0.68,-0.226,0.45400000000000007
76,n6b/8/7k/8/5K1N/2q5/8/2BQ4 w - - 13 59,0.52,0.973,0.45299999999999996
