CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 601948e7077f0d767811f4d7a7b08fcbcde09a38
uncommitted changes = True
seed = 42
engine_config_name = leela_local_1600_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 50001
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot180']
result_subdir = 

fen,original,rot180
3N1n2/3R3Q/5K2/1r6/6k1/4q3/8/8 w - - 5 39,0.6869999999999999,0.742
6B1/3K4/1b2Q3/2q2B2/5b2/8/8/k7 w - - 0 69,1.0,1.0
8/q3n3/5N2/7Q/k7/8/r1K5/7R w - - 1 47,-0.9249999999999999,-0.915
q7/8/2b3Q1/5KR1/6B1/8/r7/7k w - - 3 31,1.0,1.0
6Qb/4b3/6B1/1k2q2B/8/8/8/K7 w - - 6 40,-1.0,-1.0
1B6/8/8/8/b4B2/r1b1R3/4K3/7k w - - 10 70,1.0,1.0
b3B3/1k6/8/3R2r1/4K3/8/2Q5/6q1 w - - 4 38,1.0,1.0
1B2q3/Q2R4/7b/5r2/3K4/8/8/7k w - - 3 56,0.9169999999999999,0.9109999999999999
1K2n3/b7/k3N3/8/4R3/3r4/8/B7 w - - 2 57,-0.963,-0.951
b3Q3/B5k1/1B1K4/8/4b3/8/8/q7 w - - 17 60,0.984,0.984
8/2q2B1B/8/4bQ2/8/8/5K2/k6b w - - 3 49,1.0,1.0
r1q3Q1/8/8/K1nN4/8/1k6/6R1/8 w - - 3 35,-1.0,-1.0
8/8/8/5r2/6q1/1R2R2Q/3K1k2/6r1 w - - 9 53,0.037000000000000005,0.9259999999999999
7k/8/8/7K/3r4/2n4R/5R1N/2r5 w - - 20 68,0.10500000000000001,1.0
2N5/2k5/R3Q3/2n3q1/8/8/4K3/1r6 w - - 0 53,1.0,1.0
3R4/1kN5/5K1r/2Q5/8/8/5n2/5q2 w - - 8 59,-0.889,-0.918
2K1B3/2r3k1/4B3/8/5b2/8/4R2b/8 w - - 12 39,-0.924,-0.061
1b5Q/1q6/2b5/2B4K/8/6k1/8/2B5 w - - 4 36,0.959,0.96
8/2K5/8/5R2/kr4q1/3Q4/b7/B7 w - - 1 31,1.0,1.0
8/1r1N1R2/8/k2K3Q/4n3/8/6q1/8 w - - 18 64,0.7859999999999999,-0.18
7Q/7K/1R5B/8/7k/1b1q4/4r3/8 w - - 14 51,-0.73,-0.924
8/8/1R6/8/1N3k2/2n5/1r4Q1/1q4K1 w - - 4 30,-0.957,-0.049999999999999996
1r6/3k4/1K6/8/4B1R1/2Q3b1/7q/8 w - - 2 31,-0.863,-0.861
7k/3q4/4r3/2Qb4/7B/3K4/1R6/8 w - - 0 39,0.816,0.8019999999999999
R6b/3Q4/8/3B4/8/2q5/1r6/K3k3 w - - 2 46,-1.0,-1.0
8/r6r/8/2N5/1R4R1/n7/8/3k2K1 w - - 21 69,0.899,0.511
8/8/1Bb2q1k/6r1/8/8/1R4Q1/6K1 w - - 6 52,-0.883,-0.878
2R1K3/6k1/R7/8/6q1/5r1r/8/2Q5 w - - 10 62,0.859,0.72
1K4k1/8/2b4r/8/1Q2q3/8/8/3RB3 w - - 10 69,0.864,0.839
4r3/8/6B1/k3r3/4R2R/8/2K2b2/8 w - - 12 39,0.949,0.938
8/Q6R/8/8/8/B7/3bq3/r3k2K w - - 3 32,0.862,0.865
2B5/8/8/3q1n2/3b4/5k1K/8/2Q2N2 w - - 1 61,0.876,0.919
3q4/Q7/7K/8/6R1/1r2N3/n7/1k6 w - - 9 64,0.6639999999999999,0.823
3Q4/q7/8/r7/6R1/8/NK2k3/3n4 w - - 15 56,-0.96,-0.961
4R3/3B4/8/k6b/8/1b2K3/4rB2/8 w - - 2 50,-0.845,-0.797
4B3/8/4Q3/k5b1/8/2KB4/8/3b3q w - - 2 69,1.0,1.0
8/8/8/2K5/2QB4/2b1B3/7k/q6b w - - 5 55,1.0,1.0
2qn4/RNr3K1/8/6Q1/8/2k5/8/8 w - - 10 42,-0.6769999999999999,-0.832
3K3k/8/2Q1R3/6R1/8/q7/8/r2r4 w - - 8 63,0.877,0.852
6R1/2KQqr2/8/8/6B1/2b3k1/8/8 w - - 7 34,0.782,0.866
5B2/1r6/6R1/8/8/2R5/b7/3r1K1k w - - 13 62,0.382,0.19499999999999998
8/R7/4k2K/8/8/Bq6/r2b1Q2/8 w - - 8 56,-0.651,-0.851
2k5/5R1B/1K6/8/5N2/2b5/1n3r2/8 w - - 3 37,0.474,0.514
8/5N2/5q2/7Q/1k6/8/5rRK/4n3 w - - 11 59,-0.093,-0.08600000000000001
