CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = mirror_experiment_most_important_fens.ini
remove_pawns = False
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
transformations = ['mirror']
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

fen,original,mirror
4rnk1/pp3p2/2pb1q1p/3p1Pp1/3P2b1/3BR1N1/PPQN1KPP/5R2 b - - 0 19,0.0286332076067293,0.8072648996639143
r1b2rk1/pp2qpp1/7p/3np3/3N4/4P3/PP3PPP/1BRQ1RK1 w - - 0 17,0.6667815445525404,0.06850289625109608
1k1r4/ppp3p1/2n2q1r/8/2P3Q1/1P4N1/P3RPP1/4R1K1 b - - 4 32,-0.06850289625109608,0.525674444957214
3nk3/3r4/p2B3p/1p1QpPq1/4Pbr1/2P5/PPB1R3/4KR2 w - - 13 36,0.37053240955940814,-0.17328442191392796
6rk/ppR4p/3p3q/1B2pQ2/1P3Pn1/8/P4P1P/5K2 b - - 4 30,0.5559555267718723,0.057152309483297706
2rq1rk1/1b3pp1/p1n1p2p/2Rn4/Pp1P4/3BBN2/1P3PPP/3QR1K1 b - - 0 18,0.057152309483297706,0.5148396207365966
3qr3/pp4kp/2b1PR2/2p3P1/3rp3/PP2R2P/1B6/5Q1K b - - 0 33,-0.12998440516513501,-0.5766498017241024
1b3rk1/1pp2ppp/2npr3/pN6/2PP1Nqn/PP1Q2P1/3R1P1P/2BR3K b - - 18 23,-0.37849818760649634,0.051463025001402936
r2r3k/pQ3p2/4pNpp/2p1P3/8/2bq4/PP5P/K4RR1 w - - 2 30,-0.45445312093582724,-0.04576558242488631
6k1/1n3ppp/pN1pr3/2pR4/2P5/1P2PqP1/P1Q2P1K/5R2 w - - 1 28,-0.1785928104923478,0.21502007194390482
8/ppb3rk/4q2p/2P2b2/1PPR3Q/P3pB1P/8/4B2K w - - 0 46,-0.0798104163124178,-0.45114219806583244
