,fen,original,mirror,difference
0,4rnk1/pp3p2/2pb1q1p/3p1Pp1/3P2b1/3BR1N1/PPQN1KPP/5R2 b - - 0 19,0.0286332076067293,0.8072648996639143,0.7786316920571851
1,r1b2rk1/pp2qpp1/7p/3np3/3N4/4P3/PP3PPP/1BRQ1RK1 w - - 0 17,0.6667815445525404,0.068502896251096,0.5982786483014444
2,1k1r4/ppp3p1/2n2q1r/8/2P3Q1/1P4N1/P3RPP1/4R1K1 b - - 4 32,-0.068502896251096,0.525674444957214,0.59417734120831
3,3nk3/3r4/p2B3p/1p1QpPq1/4Pbr1/2P5/PPB1R3/4KR2 w - - 13 36,0.3705324095594081,-0.1732844219139279,0.543816831473336
4,6rk/ppR4p/3p3q/1B2pQ2/1P3Pn1/8/P4P1P/5K2 b - - 4 30,0.5559555267718723,0.0571523094832977,0.49880321728857463
5,2rq1rk1/1b3pp1/p1n1p2p/2Rn4/Pp1P4/3BBN2/1P3PPP/3QR1K1 b - - 0 18,0.0571523094832977,0.5148396207365966,0.4576873112532989
6,3qr3/pp4kp/2b1PR2/2p3P1/3rp3/PP2R2P/1B6/5Q1K b - - 0 33,-0.129984405165135,-0.5766498017241024,0.4466653965589674
7,1b3rk1/1pp2ppp/2npr3/pN6/2PP1Nqn/PP1Q2P1/3R1P1P/2BR3K b - - 18 23,-0.3784981876064963,0.0514630250014029,0.4299612126078992
8,r2r3k/pQ3p2/4pNpp/2p1P3/8/2bq4/PP5P/K4RR1 w - - 2 30,-0.4544531209358272,-0.0457655824248863,0.40868753851094086
9,6k1/1n3ppp/pN1pr3/2pR4/2P5/1P2PqP1/P1Q2P1K/5R2 w - - 1 28,-0.1785928104923478,0.2150200719439048,0.3936128824362526
10,8/ppb3rk/4q2p/2P2b2/1PPR3Q/P3pB1P/8/4B2K w - - 0 46,-0.0798104163124178,-0.4511421980658324,0.3713317817534146
11,1R6/1p1q2pk/p1p3n1/7p/7P/P1B2PP1/1P2Q1K1/3r4 b - - 1 45,0.0514630250014029,-0.3110609165913118,0.3625239415927147
12,3r4/6Rp/pp3k2/2b1nN2/8/5R2/PB1r1P1P/5K2 w - - 3 28,0.0741624665531833,-0.283583844009793,0.3577463105629763
13,r1b4r/pk1nq3/2pp3p/Q7/2BPP1pP/6R1/PPP3P1/2KR4 w - - 1 24,0.189133758730185,0.5462181632974618,0.35708440456727675
14,r1b1rn1k/2q4p/pp3p1B/4pB2/Pb5Q/4R3/2P3PP/5R1K b - - 3 28,0.1572143245837602,0.509275128389466,0.3520608038057058
15,r7/1p1bk1pp/4pp2/pP6/PbrBN3/4PP2/6PP/1R3RK1 w - - 0 23,-0.0966761937524993,-0.4478018936336012,0.35112569988110187
