,parent_fen,child_fen,move,parent_score,child_score,difference
0,8/1p3n2/1p6/pPp1p3/P1P1P1k1/2KP4/8/2B5 w - - 108 117,8/1p3n2/1p5B/pPp1p3/P1P1P1k1/2KP4/8/8 b - - 109 117,c1h6,0.0,-0.92862,0.92862
1,2B5/p1p5/7p/2p1k3/2P2pPP/7b/PPP1K3/8 w - - 3 37,2B5/p1p5/7p/2p1k3/2P2pPP/5K1b/PPP5/8 b - - 4 37,e2f3,0.30453,-0.4286,0.7331300000000001
2,7r/1p3k2/2p2Pp1/p2n2P1/P3R2P/1P3K2/3b4/7R w - - 16 53,7r/1p3k2/2p2Pp1/p2n2P1/P3R1KP/1P6/3b4/7R b - - 17 53,f3g4,0.02485,-0.57809,0.60294
3,3R4/8/4k3/8/3R2p1/6P1/1rrp1PKP/8 b - - 9 48,3R4/8/4k3/8/3R2p1/6P1/1rr2PKP/3q4 w - - 0 49,d2d1q,-0.04016,-0.62572,0.5855600000000001
4,r5k1/2p4p/p3R1p1/1p1p1q2/3N4/2P2P2/PP3P1P/4R2K b - - 1 26,r5k1/2p4p/p3R1p1/1p1p4/3N1q2/2P2P2/PP3P1P/4R2K w - - 2 27,f5f4,0.23153,-0.33548,0.56701
5,8/5k2/1pp2Pr1/p2n1Kb1/P7/1P4R1/8/3R4 w - - 0 78,8/5k2/1pp2Pr1/p2n1Kb1/P7/1P1R2R1/8/8 b - - 1 78,d1d3,0.07753,-0.48608,0.56361
6,8/8/8/1P6/6p1/4rkP1/7P/1R4K1 w - - 1 55,8/8/1P6/8/6p1/4rkP1/7P/1R4K1 b - - 0 55,b5b6,0.90717,0.35606,0.55111
7,6Q1/4k3/8/2p1P1p1/2P2qP1/3P4/4Q1K1/q7 w - - 4 79,2Q5/4k3/8/2p1P1p1/2P2qP1/3P4/4Q1K1/q7 b - - 5 79,g8c8,0.83988,0.30362,0.53626
8,5k2/pp2r1p1/3qPn1p/2pP1Q2/P1P5/2P3R1/6PP/6K1 b - - 4 35,4k3/pp2r1p1/3qPn1p/2pP1Q2/P1P5/2P3R1/6PP/6K1 w - - 5 36,f8e8,0.23789,-0.28735,0.5252399999999999
9,6k1/p3q2p/2P3p1/4r3/1P6/5Q1P/P3p1K1/4R3 w - - 7 44,6k1/p3q2p/2P3p1/4r3/1P6/3Q3P/P3p1K1/4R3 b - - 8 44,f3d3,-0.19287,-0.68381,0.49094000000000004
10,6k1/p3q2p/2P3p1/4r3/1P6/5Q1P/P3p1K1/4R3 w - - 11 46,6k1/p3q2p/2P3p1/4r3/1P6/3Q3P/P3p1K1/4R3 b - - 12 46,f3d3,-0.1934,-0.68408,0.49068
11,3q4/4kbQ1/4ppp1/8/2p2P2/8/P5PP/5R1K w - - 0 40,3q4/4kbQ1/4ppp1/8/2p2P2/8/P5PP/1R5K b - - 1 40,f1b1,0.51273,0.02542,0.48731
12,2r5/2P3p1/p4n1k/6p1/qP6/3Q3P/P4PP1/2R3K1 w - - 3 33,2r5/2P3p1/p4n1k/5Qp1/qP6/7P/P4PP1/2R3K1 b - - 4 33,d3f5,0.47514,0.01373,0.46141
13,8/pp4p1/3kn2p/5p2/PPR3P1/4KP2/1r2N2P/8 b - - 0 33,8/pp4p1/4n2p/3k1p2/PPR3P1/4KP2/1r2N2P/8 w - - 1 34,d6d5,0.16488,-0.27627,0.44115000000000004
14,8/p2rppbk/6p1/7p/n3N2P/P4PB1/6P1/1R5K b - - 1 38,8/p2rpp1k/6p1/7p/n2bN2P/P4PB1/6P1/1R5K w - - 2 39,g7d4,0.6194,0.18414,0.43526
15,4rk2/pp4pp/1np2p2/4r3/3R4/4N3/PPP2PPP/2KR4 b - - 6 22,4rk2/pp4pp/1np2p2/8/3Rr3/4N3/PPP2PPP/2KR4 w - - 7 23,e5e4,-0.09924,-0.50713,0.40789
16,8/4k3/1r3q2/3Rn2p/4P1pP/1P4P1/2PQ4/1K6 w - - 11 47,8/4k3/1r3q2/3Rn2p/3QP1pP/1P4P1/2P5/1K6 b - - 12 47,d2d4,-0.14648,-0.53656,0.39008000000000004
17,3r4/4k2p/5pp1/ppr1p3/3nPP2/P1NRK1P1/1P1R3P/8 b - - 6 40,3r4/4k3/5pp1/ppr1p2p/3nPP2/P1NRK1P1/1P1R3P/8 w - - 0 41,h7h5,-0.02629,-0.40153,0.37524
18,5r2/4rpk1/4p1pn/3pP1N1/p1p3P1/P1P4P/1P2RR2/3K4 b - - 18 41,5r2/4r1k1/4pppn/3pP1N1/p1p3P1/P1P4P/1P2RR2/3K4 w - - 0 42,f7f6,0.0115,-0.35396,0.36546
19,2k1n3/6p1/2p2p2/1pP2P1p/1P1KP2P/6B1/8/8 w - - 3 47,2k1n3/6p1/2pB1p2/1pP2P1p/1P1KP2P/8/8/8 b - - 4 47,g3d6,0.17348,-0.18841,0.36189
20,3r4/p4pk1/Bp2b1p1/3p4/1P1P1PP1/6K1/P7/2R5 b - - 0 28,8/p2r1pk1/Bp2b1p1/3p4/1P1P1PP1/6K1/P7/2R5 w - - 1 29,d8d7,-0.22847,-0.58921,0.36074
22,2r4k/6p1/p6p/7n/1P1R4/2p4P/P3rPPB/2R4K w - - 0 34,2r4k/6p1/p6p/3R3n/1P6/2p4P/P3rPPB/2R4K b - - 1 34,d4d5,0.04956,-0.30853,0.35809
21,8/2p1Q2k/2p3p1/2Pp2K1/3Pb1PP/8/8/4q3 b - - 3 58,7k/2p1Q3/2p3p1/2Pp2K1/3Pb1PP/8/8/4q3 w - - 4 59,h7h8,-0.21953,-0.57592,0.35639
23,4r3/2p2rpk/2np2Np/2p2P2/R5P1/1PP1p3/P5KP/4R3 b - - 2 38,4r3/2p2rpk/2n3Np/2pp1P2/R5P1/1PP1p3/P5KP/4R3 w - - 0 39,d6d5,-0.23609,-0.59173,0.35563999999999996
24,2r5/1br3p1/p3k3/3p1p2/1Pp5/2N1P3/P2R1PPP/2R3K1 w - - 2 30,2r5/1br3p1/p3k3/3p1p2/1Pp4P/2N1P3/P2R1PP1/2R3K1 b - - 0 30,h2h4,0.72653,0.38205,0.34448
25,6k1/2r1p2p/p2p1p2/Q2P4/P1p5/1P1q3P/5RPK/8 b - - 1 35,6k1/4p2p/p2p1p2/Q1rP4/P1p5/1P1q3P/5RPK/8 w - - 2 36,c7c5,-0.02635,0.31657,0.34292
26,8/ppp4k/4Q1bb/3P4/2P5/2N2r1P/PP6/3K4 w - - 2 38,8/ppp4k/3PQ1bb/8/2P5/2N2r1P/PP6/3K4 b - - 0 38,d5d6,0.91129,0.57667,0.33462000000000003
