CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_forced_moves_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
1rb3k1/6b1/K2p2pp/B3p3/p1n1q3/3R1B2/2Q3PP/2N4R w - - 5 39,1rb3k1/K5b1/3p2pp/B3p3/p1n1q3/3R1B2/2Q3PP/2N4R b - - 6 39,a6a7,-1.0,0.09886
1q3rbk/Q5pp/8/3P4/1r6/R3N3/2B1nPPP/5RK1 w - - 3 32,1q3rbk/Q5pp/8/3P4/1r6/R3N3/2B1nPPP/5R1K b - - 4 32,g1h1,-1.0,-0.09494
3r1bkR/pp3r2/5pq1/3p2p1/8/3PP2Q/PP3P2/1K5R b - - 10 29,3r1b1R/pp3rk1/5pq1/3p2p1/8/3PP2Q/PP3P2/1K5R w - - 11 30,g8g7,-1.0,0.33699
4r1k1/p2b1p1p/1n1Q2p1/8/8/N5P1/P2R1PBP/4q1K1 w - - 2 24,4r1k1/p2b1p1p/1n1Q2p1/8/8/N5P1/P2R1P1P/4qBK1 b - - 3 24,g2f1,-1.0,0.12704
r5k1/ppp2rbn/1P4n1/PN1Pp2p/2N1Pp1q/5Pp1/4B1bP/R2QR1BK w - - 0 24,r5k1/ppp2rbn/1P4n1/PN1Pp2p/2N1Pp1q/5Pp1/4B1KP/R2QR1B1 b - - 0 24,h1g2,-1.0,0.36953
r5k1/ppP2rbn/3P2n1/P3p2p/2N1Pp1q/2N2Pp1/4B1bP/R2Q1RBK w - - 0 24,r5k1/ppP2rbn/3P2n1/P3p2p/2N1Pp1q/2N2Pp1/4B1KP/R2Q1RB1 b - - 0 24,h1g2,-1.0,0.41216
5r1k/p6p/2Rb4/5rp1/1PB3Q1/7P/P4qP1/1R4K1 w - - 2 37,5r1k/p6p/2Rb4/5rp1/1PB3Q1/7P/P4qP1/1R5K b - - 3 37,g1h1,-1.0,0.41507
4r1k1/p4p2/4q1pp/2p5/5PP1/2QB2B1/P3r1b1/2R1RK2 w - - 6 33,4r1k1/p4p2/4q1pp/2p5/5PP1/2QB2B1/P3r1b1/2R1R1K1 b - - 7 33,f1g1,-1.0,0.41333
5QB1/7k/2r3b1/6p1/8/5K2/8/2q5 b - - 5 58,5QBk/8/2r3b1/6p1/8/5K2/8/2q5 w - - 6 59,h7h8,-1.0,0.42581
5B1k/7p/2B1Q3/3P1p2/1P3P2/2bn3P/1r6/1K6 w - - 11 62,5B1k/7p/2B1Q3/3P1p2/1P3P2/2bn3P/1r6/K7 b - - 12 62,b1a1,-1.0,0.50427
8/pP6/3N4/6p1/7k/2Pr1p2/1P3PK1/4r3 w - - 0 48,8/pP6/3N4/6p1/7k/2Pr1p2/1P3P1K/4r3 b - - 1 48,g2h2,-1.0,0.52504
3Q1rkr/5B2/4p1P1/3pP1Bn/1b1Pbp1p/1P6/7P/6K1 b - - 1 48,3Q1r1r/5Bk1/4p1P1/3pP1Bn/1b1Pbp1p/1P6/7P/6K1 w - - 2 49,g8g7,-1.0,0.54461
5B1k/7p/2B1Q3/3P1p2/1P3P1P/2bn4/1r6/1K6 w - - 11 62,5B1k/7p/2B1Q3/3P1p2/1P3P1P/2bn4/1r6/K7 b - - 12 62,b1a1,-1.0,0.54578
1Qk1r1r1/pp6/2q2p2/3p4/2n4p/2P5/P4PPB/3RR1K1 b - - 1 33,1Q2r1r1/pp1k4/2q2p2/3p4/2n4p/2P5/P4PPB/3RR1K1 w - - 2 34,c8d7,-1.0,0.55183
7k/p6p/7r/2p1P1Nq/Pp1pQP2/2b2KP1/7r/3R1R2 w - - 6 38,7k/p6p/7r/2p1P1Nq/Pp1pQPP1/2b2K2/7r/3R1R2 b - - 0 38,g3g4,-1.0,0.5661
8/1b2r1k1/pR1R3p/1p3pp1/1P5K/1B2r2P/P5P1/8 w - - 0 47,8/1b2r1k1/pR1R3p/1p3ppK/1P6/1B2r2P/P5P1/8 b - - 1 47,h4h5,-1.0,0.56772
r1r2nk1/6b1/2p1pN1p/4P2B/1pP2P2/p6P/1P1R2Q1/qNK5 b - - 1 29,r1r2n1k/6b1/2p1pN1p/4P2B/1pP2P2/p6P/1P1R2Q1/qNK5 w - - 2 30,g8h8,-1.0,0.59155
8/p5k1/4p1p1/2p3Nn/Q7/2P2PK1/1P2R1P1/6qr w - - 9 38,8/p5k1/4p1p1/2p3Nn/Q5K1/2P2P2/1P2R1P1/6qr b - - 10 38,g3g4,-1.0,0.60205
r2r2k1/1bq2p1Q/1p2pp2/1p3B2/2P5/1P6/P4PPb/3RR2K b - - 6 26,r2r1k2/1bq2p1Q/1p2pp2/1p3B2/2P5/1P6/P4PPb/3RR2K w - - 7 27,g8f8,-1.0,0.64624
8/p5k1/4pnp1/2p3N1/Q7/2P2P2/1P2RKP1/6qr w - - 7 37,8/p5k1/4pnp1/2p3N1/Q7/2P2PK1/1P2R1P1/6qr b - - 8 37,f2g3,-1.0,0.66777
Rb4k1/5p2/1p4p1/1Pp2q1p/4p3/1Q2P1Pn/1B1rB2P/4nNK1 w - - 4 36,Rb4k1/5p2/1p4p1/1Pp2q1p/4p3/1Q2P1Pn/1B1rB2P/4nN1K b - - 5 36,g1h1,-1.0,0.66975
1r1qr1k1/1p3p1Q/3p1bp1/p2bpN2/2P1P1B1/1P5R/P5PP/6K1 b - - 6 31,1r1qrk2/1p3p1Q/3p1bp1/p2bpN2/2P1P1B1/1P5R/P5PP/6K1 w - - 7 32,g8f8,-1.0,0.73024
Rb4k1/5p2/1p4p1/1Pp2q1p/4p3/1Q2P1P1/1B1rBnKP/4nN2 w - - 2 35,Rb4k1/5p2/1p4p1/1Pp2q1p/4p3/1Q2P1P1/1B1rBn1P/4nNK1 b - - 3 35,g2g1,-1.0,0.73828
Rb4k1/5p2/1p4p1/1Pp2q1p/4p3/1Q2PnP1/1B1rBn1P/5N1K w - - 0 34,Rb4k1/5p2/1p4p1/1Pp2q1p/4p3/1Q2PnP1/1B1rBnKP/5N2 b - - 1 34,h1g2,-1.0,0.73233
3q3k/8/1pQ3RP/2p2P2/3p4/6R1/1r5P/r6K w - - 5 35,3q3k/8/1pQ3RP/2p2P2/3p4/8/1r5P/r5RK b - - 6 35,g3g1,-1.0,0.74797
5N1k/R6p/2Pp2p1/4p3/1P2P3/1Q2bPB1/6K1/6q1 w - - 1 37,5N1k/R6p/2Pp2p1/4p3/1P2P3/1Q2bPBK/8/6q1 b - - 2 37,g2h3,-1.0,0.7408
2brr1k1/5p1Q/p3pbp1/1p3N1R/8/1BP5/PP3qPP/4R2K b - - 0 28,2brrk2/5p1Q/p3pbp1/1p3N1R/8/1BP5/PP3qPP/4R2K w - - 1 29,g8f8,-1.0,0.76086
7k/pp2rpp1/2p5/3p3R/2n5/2N3qP/PPB3P1/3Q3K b - - 3 27,6k1/pp2rpp1/2p5/3p3R/2n5/2N3qP/PPB3P1/3Q3K w - - 4 28,h8g8,-1.0,0.76145
1Qk1q3/p5rp/2p5/3bB3/1P1P4/7P/6PK/8 b - - 5 43,1Q2q3/p2k2rp/2p5/3bB3/1P1P4/7P/6PK/8 w - - 6 44,c8d7,-1.0,0.76236
5r1k/p4p1R/p1Np4/3P1Bb1/4P3/1P1n4/r6P/5R1K b - - 0 31,5rk1/p4p1R/p1Np4/3P1Bb1/4P3/1P1n4/r6P/5R1K w - - 1 32,h8g8,-1.0,0.7655
1Qk1q3/p5rp/2p5/3bB3/1P1P4/7P/6PK/8 b - - 1 41,1Q2q3/p2k2rp/2p5/3bB3/1P1P4/7P/6PK/8 w - - 2 42,c8d7,-1.0,0.76596
r3rk2/1b3p1p/p4PN1/1p1Np3/1Q6/P6q/2P1B2P/3n1RK1 b - - 1 30,r3r1k1/1b3p1p/p4PN1/1p1Np3/1Q6/P6q/2P1B2P/3n1RK1 w - - 2 31,f8g8,-1.0,0.77191
4kb1r/pp3ppp/4b3/8/1n1NQ3/2P5/q3PPPP/1K1R1B1R w k - 2 17,4kb1r/pp3ppp/4b3/8/1n1NQ3/2P5/q3PPPP/2KR1B1R b k - 3 17,b1c1,-1.0,0.77543
8/5k1p/3Qb1p1/q4PPn/p3P3/1p6/r7/K2R3R w - - 0 29,8/5k1p/3Qb1p1/q4PPn/p3P3/1p6/r7/1K1R3R b - - 1 29,a1b1,-1.0,0.76706
1r4k1/8/4n1PR/p7/3Pp1Q1/PK1bP1N1/2r2P2/8 w - - 1 38,1r4k1/8/4n1PR/p7/K2Pp1Q1/P2bP1N1/2r2P2/8 b - - 2 38,b3a4,-1.0,0.78176
8/5p1p/2p1pP1k/1PP1P1pP/6P1/1p6/1B2K3/8 b - - 1 46,8/5p1p/4pP1k/1pP1P1pP/6P1/1p6/1B2K3/8 w - - 0 47,c6b5,-1.0,0.7762
