CONFIGURATION:
experiment file = experiments/parent_child_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = parent_child_experiment_middlegames_most_important_fens.ini
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

parent_fen,child_fen,move,parent_score,child_score
r6b/ppq2p1P/3rpk1B/3b4/2nP2P1/2P4R/PPQ2P2/1K1R1B2 w - - 3 29,r6b/ppq2p1P/3rpk2/3b4/2nP1BP1/2P4R/PPQ2P2/1K1R1B2 b - - 4 29,h6f4,0.75112,0.25147
5rk1/pR3ppp/4p3/3p2PQ/2nP4/8/P2q2PP/5RK1 b - - 0 24,5rk1/pR3ppp/4p3/3p2PQ/2nq4/8/P5PP/5RK1 w - - 0 25,d2d4,0.25754,0.60867
4qnrk/7p/3p1prB/1p1PpN1Q/pPp1P3/P1Pn1R2/4R1PP/7K w - - 6 38,4qnrk/7p/3N1prB/1p1Pp2Q/pPp1P3/P1Pn1R2/4R1PP/7K b - - 0 38,f5d6,0.96355,-0.10144
2r2q1k/3b3p/1Q3p2/4pN2/1p1pP3/3P3P/7K/6R1 w - - 10 45,2r2q1k/3b3p/1Q1N1p2/4p3/1p1pP3/3P3P/7K/6R1 b - - 11 45,f5d6,-0.79616,0.00296
6r1/p1p2p1k/3p1q1p/2b2NrP/2p1P1P1/P1P2P2/1P1Q2R1/4RK2 w - - 10 39,6r1/p1p2p1k/3p1q1p/2b2NrP/2p1P1P1/P1P2P2/1P1QR1R1/5K2 b - - 11 39,e1e2,0.94061,-0.22968
4b3/pkb5/1pp1Bp2/4pPpq/PP2P2r/2PQB3/8/2KR4 b - - 0 35,4b3/pkb5/1pp1Bp2/4pPp1/PP2P2r/2PQBq2/8/2KR4 w - - 1 36,h5f3,0.30106,0.38179
r1q2k1r/1Q2ppbp/6p1/1Bp2b2/Pp1n1P2/1N2N3/1PP3PP/3R1RK1 w - - 8 21,r1q2k1r/1Q2ppbp/B5p1/2p2b2/Pp1n1P2/1N2N3/1PP3PP/3R1RK1 b - - 9 21,b5a6,0.23126,0.44322
4rnk1/p6p/8/1ppq2PR/2r2P2/2B4Q/PP6/1K5R w - - 2 30,4rnk1/p6p/8/1ppq1PPR/2r5/2B4Q/PP6/1K5R b - - 0 30,f4f5,0.75519,-0.12851
r4rk1/2p2n2/1nPp1qp1/pB1Pp1p1/P3P1P1/2N2P1R/6K1/2Q4R w - - 13 56,r4rk1/2p2n1R/1nPp1qp1/pB1Pp1p1/P3P1P1/2N2P2/6K1/2Q4R b - - 14 56,h3h7,0.76191,-0.14193
2b3k1/p1pp2pp/2p1nr2/5q2/5r2/1PN1Q2P/P1PB1PP1/R3R1K1 w - - 1 21,2b3k1/p1pp2pp/2p1nr2/5q2/4Nr2/1P2Q2P/P1PB1PP1/R3R1K1 b - - 2 21,c3e4,0.08071,0.53021
