CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 89efbbfa12241eb7b13b5f2f3bd8c534d7a9f1d5
uncommitted changes = True
seed = 42
engine_config_name = stockfish_classic_local_81000_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 60004
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot90', 'rot180', 'rot270', 'flip_diag', 'flip_anti_diag', 'flip_hor', 'flip_vert']
result_subdir = 

fen,original,rot90,rot180,rot270,flip_diag,flip_anti_diag,flip_hor,flip_vert
3N1n2/3R3Q/5K2/1r6/6k1/4q3/8/8 w - - 5 39,267,298,293,271,314,308,300,285
6B1/3K4/1b2Q3/2q2B2/5b2/8/8/k7 w - - 0 69,31999,31999,31999,31999,31999,31999,31999,31999
8/q3n3/5N2/7Q/k7/8/r1K5/7R w - - 1 47,-31991,-31991,-31991,-505,-3457,-31991,-31991,-31991
1B2q3/Q2R4/7b/5r2/3K4/8/8/7k w - - 3 56,461,459,444,447,372,458,475,444
q7/8/2b3Q1/5KR1/6B1/8/r7/7k w - - 3 31,31997,31997,31997,31997,31997,31997,31997,31997
6Qb/4b3/6B1/1k2q2B/8/8/8/K7 w - - 6 40,-31999,-31999,-31999,-31999,-31999,-31999,-31999,-31999
1B6/8/8/8/b4B2/r1b1R3/4K3/7k w - - 10 70,31997,31997,31997,31997,31997,31997,31997,31997
b3B3/1k6/8/3R2r1/4K3/8/2Q5/6q1 w - - 4 38,31996,31996,31996,31996,31996,31996,31996,31996
1K2n3/b7/k3N3/8/4R3/3r4/8/B7 w - - 2 57,-187,-175,-174,-191,-187,-179,-180,-181
b3Q3/B5k1/1B1K4/8/4b3/8/8/q7 w - - 17 60,31985,3422,3454,587,3458,31989,31989,608
8/8/8/5r2/6q1/1R2R2Q/3K1k2/6r1 w - - 9 53,180,177,172,168,178,174,193,170
8/2q2B1B/8/4bQ2/8/8/5K2/k6b w - - 3 49,31999,31999,31999,31999,31999,31999,31999,31999
r1q3Q1/8/8/K1nN4/8/1k6/6R1/8 w - - 3 35,-31997,-31997,-31997,-31997,-31997,-31997,-31997,-31997
7k/8/8/7K/3r4/2n4R/5R1N/2r5 w - - 20 68,31997,31997,31997,31997,31997,31997,31997,31997
3R4/1kN5/5K1r/2Q5/8/8/5n2/5q2 w - - 8 59,-327,-281,-292,-274,-301,-286,-286,-308
2N5/2k5/R3Q3/2n3q1/8/8/4K3/1r6 w - - 0 53,31996,31996,31996,31996,31996,31996,31996,31996
2K1B3/2r3k1/4B3/8/5b2/8/4R2b/8 w - - 12 39,-191,-198,-195,-179,-180,-192,-192,-186
1b5Q/1q6/2b5/2B4K/8/6k1/8/2B5 w - - 4 36,31993,31993,31993,31993,31993,31993,31993,31989
8/2K5/8/5R2/kr4q1/3Q4/b7/B7 w - - 1 31,31994,31994,31994,31994,31994,31994,31994,31994
8/1r1N1R2/8/k2K3Q/4n3/8/6q1/8 w - - 18 64,344,100,342,463,448,364,374,370
7Q/7K/1R5B/8/7k/1b1q4/4r3/8 w - - 14 51,-31993,-31993,-31993,-31993,-31991,-31993,-31993,-31993
8/8/1R6/8/1N3k2/2n5/1r4Q1/1q4K1 w - - 4 30,-31994,-31994,-31994,-31994,-31994,-31994,-31994,-31994
1r6/3k4/1K6/8/4B1R1/2Q3b1/7q/8 w - - 2 31,-365,-359,-412,-353,-360,-343,-397,-364
7k/3q4/4r3/2Qb4/7B/3K4/1R6/8 w - - 0 39,427,427,434,390,418,431,402,444
8/r6r/8/2N5/1R4R1/n7/8/3k2K1 w - - 21 69,40,32,43,37,44,31,50,32
R6b/3Q4/8/3B4/8/2q5/1r6/K3k3 w - - 2 46,-31998,-31998,-31998,-31998,-31998,-31998,-31998,-31998
8/8/1Bb2q1k/6r1/8/8/1R4Q1/6K1 w - - 6 52,-354,-791,-352,-353,-353,-355,-354,-347
2R1K3/6k1/R7/8/6q1/5r1r/8/2Q5 w - - 10 62,509,454,354,431,458,452,527,503
1K4k1/8/2b4r/8/1Q2q3/8/8/3RB3 w - - 10 69,419,0,280,294,249,259,255,372
4r3/8/6B1/k3r3/4R2R/8/2K2b2/8 w - - 12 39,167,163,173,168,170,167,170,173
8/Q6R/8/8/8/B7/3bq3/r3k2K w - - 3 32,3482,3508,3414,3654,3429,3330,3422,31989
2B5/8/8/3q1n2/3b4/5k1K/8/2Q2N2 w - - 1 61,318,328,345,347,327,321,323,336
3q4/Q7/7K/8/6R1/1r2N3/n7/1k6 w - - 9 64,345,337,364,346,346,330,346,349
3Q4/q7/8/r7/6R1/8/NK2k3/3n4 w - - 15 56,-388,-378,-378,-381,-368,-396,-488,-406
4R3/3B4/8/k6b/8/1b2K3/4rB2/8 w - - 2 50,-167,-157,-169,-164,-172,-154,-164,-168
8/8/8/2K5/2QB4/2b1B3/7k/q6b w - - 5 55,31992,31992,31992,31992,31992,31992,31992,31992
4B3/8/4Q3/k5b1/8/2KB4/8/3b3q w - - 2 69,31999,31999,31999,31999,31999,31999,31999,31999
2qn4/RNr3K1/8/6Q1/8/2k5/8/8 w - - 10 42,-295,-297,-292,-294,-95,-300,-308,-327
3K3k/8/2Q1R3/6R1/8/q7/8/r2r4 w - - 8 63,175,178,176,165,170,176,174,176
6R1/2KQqr2/8/8/6B1/2b3k1/8/8 w - - 7 34,165,165,161,157,156,167,167,155
5B2/1r6/6R1/8/8/2R5/b7/3r1K1k w - - 13 62,54,53,54,38,55,53,57,51
8/R7/4k2K/8/8/Bq6/r2b1Q2/8 w - - 8 56,-2907,-722,-609,-499,-471,-522,-516,-592
2k5/5R1B/1K6/8/5N2/2b5/1n3r2/8 w - - 3 37,31996,31996,31996,31996,31996,31996,31996,31996
8/5N2/5q2/7Q/1k6/8/5rRK/4n3 w - - 11 59,-95,-89,-81,-85,-89,-76,-79,-95
7r/8/3R1Q2/8/8/7r/8/1R2K1qk w - - 2 31,-747,-986,-662,-606,-690,-742,-660,-698
7r/2R5/k4K2/1r1q4/6R1/8/8/2Q5 w - - 14 59,186,179,179,179,182,172,175,179
8/3N4/6r1/3n4/7K/1knN4/5R2/8 w - - 6 61,26,164,169,174,170,163,18,167
7q/5Q2/8/6k1/2B5/1R2b1r1/8/5K2 w - - 12 47,522,354,447,416,503,562,452,458
8/6b1/5B1b/2q5/6BQ/8/k7/5K2 w - - 0 50,3196,3352,31991,3085,3065,850,3287,3007
8/5k2/2B5/7K/8/4QB2/1b2b3/4q3 w - - 2 56,326,288,305,334,339,368,31990,291
